speed,flag,x_antp,x_atualp,y_pred,ypred_virtual,Y_virtual_0,Y_virtual_1,time_teda,time_rls_filter_1,time_rls_filter_2,time_rls_update_1
59,0,57,59,59.513569,60.554157,60.031609,60.554157,84,24,52,44
61,0,59,61,61.543083,62.643803,62.091003,62.643803,88,24,53,46
63,0,61,63,63.573486,64.736168,64.152191,64.736168,88,28,53,41
63,0,63,63,63.568401,64.720634,64.141930,64.720634,88,24,53,42
59,0,63,59,59.494675,60.496506,59.993500,60.496506,80,24,53,42
51,0,59,51,51.371323,52.122097,51.745350,52.122097,84,28,53,44
42,0,51,42,42.261745,42.790138,42.525120,42.790138,84,24,53,44
33,0,42,33,33.177475,33.535294,33.355904,33.535294,90,24,53,39
27,0,33,27,27.133078,27.401205,27.266811,27.401205,84,28,53,41
22,0,27,22,22.101675,22.306438,22.203821,22.306438,468,148,318,160
16,1,22,22.203821,22.203821,22.409531,22.306438,22.409531,84,24,61,37
18,0,22.101675,18,18.079426,18.239330,18.159203,18.239330,80,28,53,42
24,0,18,24,24.111706,24.336679,24.223932,24.336679,88,24,53,41
30,0,24,30,30.149330,30.450226,30.299404,30.450226,84,24,53,42
35,0,30,35,35.185947,35.560810,35.372883,35.560810,88,28,53,44
40,0,35,40,40.228115,40.688255,40.457531,40.688255,84,24,53,44
44,0,40,44,44.266346,44.803886,44.534306,44.803886,88,24,53,46
48,0,44,48,48.308910,48.932709,48.619808,48.932709,80,28,53,42
51,0,48,51,51.343552,52.037609,51.689415,52.037609,84,24,53,44
53,0,51,53,53.367428,54.109943,53.737404,54.109943,84,24,53,44
55,0,53,55,55.392323,56.185379,55.787441,56.185379,92,28,53,44
56,0,55,56,56.403782,57.220100,56.810474,57.220100,84,32,56,41
57,0,56,57,57.415367,58.255203,57.833759,58.255203,88,24,53,41
58,0,57,58,58.427078,59.290695,58.857304,59.290695,80,28,53,42
60,0,58,60,60.454273,61.373165,60.911987,61.373165,88,24,53,44
61,0,60,61,61.466366,62.409824,61.936298,62.409824,88,24,52,44
63,0,61,63,63.494915,64.496437,63.993717,64.496437,90,29,53,39
64,0,63,64,64.507317,65.534042,65.018654,65.534042,84,24,53,46
64,0,64,64,64.502716,65.520027,65.009384,65.520027,80,24,53,42
64,0,64,64,64.498192,65.506241,65.000259,65.506241,84,28,52,42
63,0,64,63,63.477234,64.442574,63.958084,64.442574,84,24,53,44
61,0,63,61,61.441483,62.334061,61.886162,62.334061,88,24,52,44
59,0,61,59,59.408123,60.232861,59.819069,60.232861,84,28,53,44
55,0,59,55,55.349876,56.056316,55.701977,56.056316,84,29,56,42
51,0,55,51,51.298447,51.900585,51.598637,51.900585,84,24,53,44
46,0,51,46,46.242771,46.732166,46.486824,46.732166,88,28,52,42
43,0,46,43,43.213306,43.643105,43.427673,43.643105,80,24,53,39
39,0,43,39,39.178425,39.537727,39.357666,39.537727,88,24,53,46
37,0,39,37,37.162567,37.489845,37.325848,37.489845,88,28,53,41
36,0,37,36,36.154854,36.466564,36.310375,36.466564,88,24,53,42
36,0,36,36,36.154423,36.465260,36.309509,36.465260,80,24,53,42
37,0,36,37,37.161148,37.485550,37.322998,37.485550,84,28,53,42
39,0,37,39,39.175617,39.529228,39.352024,39.529228,84,24,53,42
40,0,39,40,40.182922,40.551285,40.366684,40.551285,88,24,53,46
42,0,40,42,42.198746,42.599060,42.398430,42.599060,88,28,53,42
43,0,42,43,43.206650,43.622932,43.414291,43.622932,88,24,53,42
42,0,43,42,42.197056,42.593948,42.395039,42.593948,80,24,53,44
41,0,42,41,41.187828,41.566074,41.376518,41.566074,84,28,53,44
38,0,41,38,38.163128,38.491489,38.326958,38.491489,84,24,53,42
32,0,38,32,32.120785,32.363724,32.242027,32.363724,88,24,53,42
25,0,32,25,25.081699,25.245901,25.163666,25.245901,88,28,53,41
20,0,25,20,20.059677,20.179564,20.119532,20.179564,88,24,53,42
16,1,20,20.119532,20.119532,20.239775,20.179564,20.239775,80,24,61,37
17,0,20.059677,17,17.048307,17.145334,17.096752,17.145334,84,28,53,41
22,0,17,22,22.066761,22.200891,22.133724,22.200891,84,24,52,42
28,0,22,28,28.093416,28.281187,28.187145,28.281187,88,24,53,46
34,0,28,34,34.126526,34.380989,34.253521,34.380989,88,28,53,41
39,0,34,39,39.160263,39.482765,39.321182,39.482765,87,24,53,42
43,0,39,43,43.191830,43.578060,43.384514,43.578060,80,24,53,44
46,0,43,46,46.218292,46.657990,46.437622,46.657990,88,28,52,42
47,0,46,47,47.227020,47.684361,47.455139,47.684361,80,24,53,44
49,0,47,49,49.246304,49.742626,49.493843,49.742626,87,24,53,37
51,0,49,51,51.266674,51.804211,51.534740,51.804211,88,28,53,41
53,0,51,53,53.288136,53.869118,53.577839,53.869118,80,24,53,44
53,0,53,53,53.286240,53.863369,53.574028,53.863369,84,24,53,44
54,0,53,54,54.296413,54.894127,54.594452,54.894127,84,28,53,42
55,0,54,55,55.306767,55.925438,55.615242,55.925438,84,24,53,37
54,0,55,54,54.292191,54.881321,54.585960,54.881321,84,24,53,44
54,0,54,54,54.290218,54.875343,54.581997,54.875343,88,28,53,46
53,0,54,53,53.276340,53.833351,53.554123,53.833351,84,24,53,39
51,0,53,51,51.251789,51.759106,51.504822,51.759106,84,24,53,42
51,0,51,51,51.250290,51.754555,51.501804,51.754555,84,28,53,42
45,0,51,45,45.188065,45.566555,45.376915,45.566555,80,24,53,42
35,0,45,35,35.109627,35.329914,35.219597,35.329914,83,24,53,37
29,0,35,29,29.076637,29.230518,29.153477,29.230518,92,28,53,44
21,0,29,21,21.044172,21.132797,21.088438,21.132797,84,24,53,44
16,1,21,21.088438,21.088438,21.177250,21.132797,21.177250,88,24,61,37
15,1,21.044172,21.132797,21.132797,21.221796,21.177250,21.221796,80,28,61,39
14,1,21.088438,21.177250,21.177250,21.266436,21.221796,21.266436,84,24,61,37
19,0,21.132797,19,19.037891,19.113899,19.075857,19.113899,84,24,53,44
23,0,19,23,23.050011,23.150358,23.100130,23.150358,92,28,53,42
27,0,23,27,27.064627,27.194345,27.129408,27.194345,84,24,53,44
31,0,27,31,31.082203,31.247263,31.164623,31.247263,83,24,53,37
33,0,31,33,33.092300,33.277679,33.184860,33.277679,83,28,53,44
36,0,33,36,36.109177,36.328526,36.218685,36.328526,80,24,53,42
39,0,36,39,39.128284,39.386124,39.256992,39.386124,88,24,52,42
41,0,39,41,41.142269,41.428288,41.285030,41.428288,84,28,53,41
41,0,41,41,41.141678,41.426502,41.283844,41.426502,88,24,53,42
43,0,41,43,43.156723,43.471886,43.314018,43.471886,80,24,53,44
46,0,43,46,46.181641,46.547077,46.363998,46.547077,84,28,53,44
47,0,46,47,47.189987,47.572266,47.380741,47.572266,84,24,53,44
49,0,47,49,49.208427,49.627945,49.417740,49.627945,88,24,53,46
49,0,49,49,49.207184,49.624184,49.415245,49.624184,88,28,53,41
47,0,49,47,47.186138,47.560627,47.373013,47.560627,88,24,53,42
37,0,47,37,37.102730,37.309048,37.205746,37.309048,80,24,53,44
25,0,37,25,25.041697,25.125298,25.083462,25.125298,84,28,53,41
19,0,25,19,19.024548,19.073738,19.049128,19.073738,84,24,53,42
16,1,19,19.049128,19.049128,19.098381,19.073738,19.098381,88,24,61,42
19,0,19.024548,19,19.024502,19.073603,19.049036,19.073603,88,28,53,41
25,0,19,25,25.039473,25.118607,25.079008,25.118607,88,24,53,42
31,0,25,31,31.060810,31.182787,31.121738,31.182787,80,24,53,42
36,0,31,36,36.084858,36.255173,36.169914,36.255173,84,28,53,44
40,0,36,40,40.108910,40.327621,40.218117,40.327621,84,24,53,42
44,0,40,44,44.137608,44.414116,44.275646,44.414116,88,24,53,46
47,0,44,47,47.162399,47.488880,47.325359,47.488880,88,28,53,41
49,0,47,49,49.180313,49.542934,49.361290,49.542934,88,24,53,42
50,0,49,50,50.189201,50.569759,50.379120,50.569759,80,24,53,42
50,0,50,50,50.187981,50.566063,50.376667,50.566063,84,28,53,44
