"Name","Threshold","FlagCorrection","N_outlier_max","Window","Forecasting","n_Epochs","n_Units","Energy_Consumed","accuracy","f1_score","recall","rmse_lstm_pred","mae_pred","mae_max","mae_mean","mae_min","rmse_max","rmse_mean","rmse_min"
"lucky-sweep-18","1.2","true","1","4","2","200","100","0.000026517444025264846","0.8974358974358975","0.6363636363636364","1","23.010358091528083","13.772477375773638","15.284586525498424","14.528531950636031","13.772477375773638","26.882562979450835","24.946460535489457","23.010358091528083"
"desert-sweep-179","1.2","true","1","4","3","200","50","0.000018020197761233777","0.935897435897436","0.7368421052631579","1","24.43925502422829","15.265199331149804","15.943264743874291","15.229562864097169","14.4802245172674","25.819625458965092","24.572521788816047","23.45868488325476"
"logical-sweep-121","1.2","true","3","4","2","100","10","0.000017497502846012796","0.8974358974358975","0.6363636363636364","1","25.087914024658826","16.19495298501547","16.19495298501547","15.695177043171668","15.195401101327867","25.733920260246673","25.41091714245275","25.087914024658826"
"splendid-sweep-866","1.2","false","2","2","4","100","50","0.000020164191876699403","0.9102564102564102","0.6666666666666666","1","23.24574038243917","14.22785901687424","17.54874623769785","15.919650275530133","14.22785901687424","25.32603745101839","24.30992788134032","23.24574038243917"
"vague-sweep-552","1.2","false","2","3","2","200","100","0.000018783490162362697","0.8974358974358975","0.6363636363636364","1","24.609605039993088","15.034895093407572","16.033499083997057","15.534197088702314","15.034895093407572","24.820207503937628","24.71490627196536","24.609605039993088"
"fallen-sweep-125","1.2","true","3","4","2","200","50","0.00001872513525954736","0.8974358974358975","0.6363636363636364","1","30.059651529747732","20.35968941079672","20.35968941079672","20.1295704971908","19.899451583584874","30.481934270695","30.27079290022137","30.059651529747732"
"sweepy-sweep-17","1.2","true","1","4","2","200","50","0.000021187872847254488","0.8974358974358975","0.6363636363636364","1","26.42530927155144","17.668280570607372","18.80925926180753","18.23876991620745","17.668280570607372","27.95999657897128","27.19265292526136","26.42530927155144"
"vivid-sweep-774","1.2","false","3","4","3","200","100","0.00001908081102950228","0.935897435897436","0.7368421052631579","1","25.16132310025477","14.6358812724324","14.6358812724324","13.998201074317834","13.026997357257","26.77208491654488","24.83012223319521","22.556958682785968"
"sage-sweep-391","1.2","true","2","4","4","100","10","0.000021158608583296984","0.9102564102564102","0.6666666666666666","1","22.769211362908035","13.591268767914212","14.669643026138903","13.968637706092736","13.255163085620437","23.33602787482008","22.94538672143142","22.626561062051543"
"driven-sweep-61","1.2","true","2","3","2","100","10","0.00001775460365253467","0.8974358974358975","0.6363636363636364","1","24.692420393334157","18.169492729523892","18.39842744093065","18.28396008522727","18.169492729523892","26.08833757357676","25.390378983455456","24.692420393334157"
"toasty-sweep-167","1.2","true","1","2","3","200","50","0.000018037669411582257","0.935897435897436","0.7368421052631579","1","23.993532470083174","15.651229285143566","16.787510005009636","16.290544924992812","15.651229285143566","24.901762217792943","24.200339232117695","23.705723008476955"
"azure-sweep-340","1.2","true","1","4","4","200","10","0.000018021439759490683","0.9102564102564102","0.6666666666666666","1","22.71783557952689","14.322081052150974","15.96690804411653","14.451899066558443","13.406620837560878","24.713028982939942","23.339958698361063","22.71783557952689"
"exalted-sweep-178","1.2","true","1","4","3","200","10","0.000017613503230613534","0.935897435897436","0.7368421052631579","1","25.25281683517217","17.4118529287363","17.4118529287363","16.81178620059852","16.099936202884034","26.85754572440475","25.414442135564617","24.132963847116933"
